번호,시군구 코드,발생 건수
1,11110,224322
2,11140,223130
3,11170,347318
4,11200,617167
5,11215,635426
6,11230,659694
7,11260,700690
8,11290,709535
9,11305,555056
10,11320,452842
11,11350,938187
12,11380,963378
13,11410,541133
14,11440,588132
15,11470,722342
16,11500,975170
17,11530,636362
18,11545,400810
19,11560,562662
20,11590,673902
21,11620,863496
22,11650,664209
23,11680,837901
24,11710,1072012
25,11740,677639
26,26110,72771
27,26140,231032
28,26170,203344
29,26200,248081
30,26230,609473
31,26260,430218
32,26290,496030
33,26320,452462
34,26350,719353
35,26380,519157
36,26410,428635
37,26440,159914
38,26470,380378
39,26500,306135
40,26530,416616
41,26710,291850
42,27110,160023
43,27140,684550
44,27170,356628
45,27200,326600
46,27230,818174
47,27260,891967
48,27290,1077569
49,27710,413216
50,28110,147675
51,28140,122251
52,28170,617539
53,28185,501408
54,28200,1090844
55,28237,947729
56,28245,678867
57,28260,865151
58,28710,74965
59,28720,21431
60,29110,189138
61,29140,513363
62,29155,362429
63,29170,781421
64,29200,742490
65,30110,513600
66,30140,531613
67,30170,905469
68,30200,544760
69,30230,324382
70,31110,350855
71,31140,541572
72,31170,325843
73,31200,278679
74,31710,372686
75,36110,380040
76,41111,445701
77,41113,559380
78,41115,316957
79,41117,549268
80,41131,383991
81,41133,458757
82,41135,739574
83,41150,682357
84,41171,431974
85,41173,477315
86,41190,753513
87,41195,409505
88,41197,192015
89,41199,134568
90,41210,551977
91,41220,708761
92,41250,143870
93,41271,460288
94,41273,508765
95,41281,684218
96,41285,429229
97,41287,563107
98,41290,76498
99,41310,422703
100,41360,1149508
101,41370,374337
102,41390,650346
103,41410,390253
104,41430,231474
105,41450,427589
106,41461,365585
107,41463,588823
108,41465,558825
109,41480,750262
110,41500,289606
111,41550,368925
112,41570,570467
113,41590,927681
114,41610,516317
115,41630,327222
116,41650,223287
117,41670,152779
118,41800,104689
119,41820,89240
120,41830,190822
121,42110,368834
122,42130,652468
123,42150,278877
124,42170,145251
125,42190,171128
126,42210,197448
127,42230,177592
128,42720,108192
129,42730,74883
130,42750,100336
131,42760,60350
132,42770,80529
133,42780,77547
134,42790,45114
135,42800,24755
136,42810,36494
137,42820,64688
138,42830,50369
139,43111,341325
140,43112,337236
141,43113,460553
142,43114,298291
143,43130,368604
144,43150,278419
145,43710,27506
146,43720,48447
147,43730,142415
148,43740,86737
149,43745,46118
150,43750,137072
151,43760,67098
152,43770,220297
153,43800,51554
154,44131,367619
155,44133,489169
156,44150,218220
157,44180,296985
158,44200,456386
159,44210,225313
160,44230,295781
161,44250,70958
162,44270,295424
163,44710,150345
164,44730,270
165,44760,181851
166,44770,161748
167,44790,67298
168,44800,182708
169,44810,142155
170,44825,125402
171,45111,564235
172,45113,455857
173,45130,422039
174,45140,564833
175,45180,220217
176,45190,143422
177,45210,152951
178,45710,184878
179,45720,46794
180,45730,53915
181,45740,46258
182,45750,59217
183,45770,72222
184,45790,126497
185,45800,168847
186,46110,410635
187,46130,735118
188,46150,439013
189,46170,244737
190,46230,282943
191,46710,122551
192,46720,65607
193,46730,55194
194,46770,143738
195,46780,95766
196,46790,100012
197,46800,100707
198,46810,70168
199,46820,240406
200,46830,143314
201,46840,200890
202,46860,74117
203,46870,170254
204,46880,90164
205,46890,130764
206,46900,81013
207,46910,83125
208,47111,420237
209,47113,524391
210,47130,462125
211,47150,246382
212,47170,330942
213,47190,769478
214,47210,224137
215,47230,229495
216,47250,199916
217,47280,173021
218,47290,478231
219,47720,42852
220,47730,86244
221,47750,43560
222,47760,25763
223,47770,86122
224,47820,86525
225,47830,67973
226,47840,83464
227,47850,222183
228,47900,74491
229,47920,55948
230,47930,93334
231,47940,9811
232,48121,494826
233,48123,411324
234,48125,329359
235,48127,392117
236,48129,385955
237,48170,665047
238,48220,271650
239,48240,177389
240,48250,931313
241,48270,224088
242,48310,419327
243,48330,611575
244,48720,80400
245,48730,149682
246,48740,129098
247,48820,116459
248,48840,133161
249,48850,127440
250,48860,78993
251,48870,83821
252,48880,119012
253,48890,106575
254,49110,760024
255,49130,285523
256,49710,103
257,49720,92
