번호,시군구 코드,발생 건수
1,11110,100773
2,11140,129649
3,11170,182406
4,11200,284297
5,11215,420839
6,11230,326599
7,11260,441789
8,11290,400894
9,11305,412121
10,11320,369271
11,11350,558970
12,11380,615730
13,11410,340620
14,11440,304170
15,11470,344195
16,11500,535708
17,11530,337563
18,11545,176570
19,11560,361355
20,11590,324346
21,11620,409995
22,11650,337292
23,11680,422091
24,11710,524354
25,11740,331359
26,26110,29377
27,26140,88721
28,26170,84397
29,26200,128813
30,26230,466347
31,26260,264740
32,26290,265344
33,26320,366240
34,26350,363645
35,26380,396689
36,26410,216414
37,26440,105460
38,26470,189680
39,26500,164209
40,26530,195502
41,26710,130578
42,27110,74188
43,27140,445945
44,27170,237865
45,27200,153061
46,27230,536900
47,27260,445094
48,27290,626994
49,27710,258899
50,28110,77969
51,28140,76317
52,28170,479668
53,28185,315277
54,28200,480253
55,28237,676027
56,28245,389335
57,28260,591079
58,28710,90804
59,28720,10885
60,29110,164721
61,29140,345676
62,29155,297560
63,29170,671285
64,29200,491047
65,30110,218150
66,30140,213583
67,30170,528435
68,30200,370098
69,30230,211426
70,31110,274209
71,31140,358230
72,31170,162045
73,31200,272569
74,31710,269784
75,36110,361960
76,41111,317205
77,41113,354781
78,41115,198362
79,41117,303831
80,41131,295356
81,41133,238840
82,41135,401182
83,41150,351802
84,41171,214451
85,41173,361723
86,41190,367231
87,41195,226782
88,41197,125436
89,41199,111393
90,41210,325171
91,41220,559629
92,41250,128894
93,41271,363967
94,41273,303843
95,41281,471880
96,41285,203665
97,41287,239570
98,41290,45262
99,41310,191075
100,41360,550922
101,41370,222029
102,41390,330796
103,41410,230011
104,41430,178692
105,41450,165468
106,41461,193690
107,41463,312114
108,41465,326426
109,41480,490912
110,41500,167598
111,41550,240199
112,41570,447920
113,41590,561154
114,41610,323319
115,41630,198439
116,41650,171947
117,41670,72576
118,41800,60342
119,41820,60814
120,41830,77427
121,42110,244038
122,42130,280069
123,42150,141799
124,42170,90390
125,42190,32966
126,42210,118528
127,42230,110625
128,42720,72038
129,42730,31489
130,42750,43900
131,42760,32892
132,42770,23345
133,42780,48902
134,42790,26416
135,42800,14586
136,42810,37278
137,42820,38451
138,42830,25020
139,43111,258906
140,43112,239075
141,43113,282022
142,43114,244596
143,43130,228037
144,43150,207171
145,43710,21267
146,43720,44027
147,43730,74265
148,43740,61628
149,43745,46721
150,43750,131912
151,43760,31503
152,43770,111426
153,43800,29292
154,44131,299615
155,44133,380804
156,44150,181370
157,44180,231612
158,44200,377243
159,44210,133936
160,44230,146348
161,44250,36989
162,44270,260279
163,44710,57462
164,44760,91182
165,44770,50760
166,44790,40072
167,44800,112886
168,44810,113871
169,44825,173242
170,45111,371177
171,45113,316634
172,45130,310132
173,45140,537455
174,45180,235824
175,45190,86466
176,45210,121334
177,45710,135036
178,45720,33318
179,45730,44971
180,45740,24104
181,45750,40042
182,45770,44552
183,45790,95875
184,45800,80243
185,46110,333621
186,46130,357908
187,46150,399022
188,46170,133620
189,46230,136150
190,46710,96358
191,46720,36239
192,46730,22281
193,46770,146809
194,46780,66975
195,46790,80260
196,46800,79258
197,46810,57327
198,46820,132246
199,46830,133103
200,46840,128958
201,46860,56254
202,46870,115385
203,46880,77046
204,46890,96525
205,46900,53621
206,46910,45385
207,47111,286215
208,47113,283265
209,47130,364873
210,47150,132898
211,47170,163461
212,47190,401738
213,47210,96403
214,47230,190541
215,47250,151615
216,47280,91298
217,47290,479838
218,47720,32773
219,47730,84627
220,47750,21020
221,47760,17871
222,47770,88487
223,47820,69564
224,47830,31249
225,47840,46423
226,47850,125161
227,47900,42586
228,47920,35527
229,47930,35726
230,47940,4406
231,48121,352267
232,48123,201225
233,48125,200064
234,48127,209392
235,48129,213682
236,48170,412138
237,48220,203218
238,48240,159638
239,48250,553771
240,48270,150853
241,48310,285829
242,48330,319158
243,48720,56944
244,48730,71448
245,48740,86975
246,48820,82313
247,48840,82950
248,48850,66911
249,48860,32491
250,48870,81677
251,48880,103319
252,48890,72026
253,49110,510135
254,49130,218923
255,49710,45
256,49720,81
