stateDt,decideCnt
20211006,323379
20211005,321352
20211004,319777
20211003,318105
20211002,316020
20211001,313773
20210930,311289
20210929,308725
20210928,305842
20210927,303553
20210926,301172
20210925,298402
20210924,295132
20210923,292699
20210922,290983
20210921,289263
20210920,287536
20210919,285931
20210918,284022
20210917,281938
20210914,275910
20210913,274415
20210911,271227
20210910,269362
20210909,267470
20210908,265423
20210907,263374
20210906,261778
20210905,260403
20210904,258913
20210903,257110
20210902,255401
20210901,253445
20210831,251421
20210830,250051
20210829,248568
20210828,246951
20210827,245158
20210826,243317
20210825,241439
20210824,239287
20210823,237782
20210822,236366
20210821,234739
20210820,232859
20210819,230808
20210818,228657
20210817,226854
20210816,225481
20210815,223928
20210814,222111
20210813,220182
20210812,218192
20210811,216206
20210810,213987
20210809,212448
20210808,210956
20210807,209228
20210806,207406
20210805,205702
20210804,203926
20210803,202203
20210802,201002
20210801,199787
20210731,198345
20210730,196806
20210729,195099
20210728,193427
20210727,191531
20210726,190166
20210725,188848
20210724,187362
20210723,185733
20210722,184103
20210721,182265
20210720,180481
20210719,179203
20210718,177951
20210717,176500
20210716,175046
20210715,173511
20210714,171911
20210713,170296
20210712,169146
20210710,166722
20210709,165344
20210708,164028
20210707,162753
20210706,161541
20210705,160795
20210704,160084
20210703,159342
20210702,158549
20210701,157723
20210630,156961
20210629,156167
20210628,155572
20210627,155071
20210626,154457
20210625,153789
20210624,153155
20210623,152545
20210622,151901
20210621,151506
20210620,151149
20210619,150720
20210618,150238
20210617,149731
20210616,149191
20210615,148647
20210614,148273
20210613,147874
20210612,147422
20210611,146859
20210610,146303
20210609,145692
20210608,145091
20210607,144637
20210606,144152
20210605,143596
20210604,142852
20210603,142157
20210602,141476
20210601,140799
20210531,140340
20210530,139910
20210529,139431
20210528,138898
20210527,138311
20210526,137682
20210525,136983
20210524,136467
20210523,135929
20210522,135344
20210521,134678
20210520,134117
20210519,133471
20210518,132818
20210517,132290
20210516,131671
20210515,131061
20210514,130380
20210513,129633
20210512,128918
20210511,128283
20210510,127772
20210509,127309
20210508,126745
20210507,126044
20210506,125519
20210505,124945
20210504,124269
20210503,123728
20210502,123240
20210501,122634
20210430,122007
20210429,121351
20210428,120673
20210427,119898
20210424,118243
20210423,117458
20210422,116661
20210421,115926
20210420,115195
20210420,115195
20210419,114646
20210418,114115
20210417,113444
20210416,112789
20210415,112117
20210414,111419
20210413,110688
20210412,110146
20210411,109559
20210410,108945
20210409,108269
20210408,107598
20210407,106898
20210406,106230
20210405,105752
20210404,105279
20210403,104736
20210402,104194
20210401,103639
20210331,103088
20210330,102582
20210329,102141
20210328,101757
20210327,101275
20210326,100770
20210325,100276
20210324,99846
20210323,99421
20210322,99075
20210321,98665
20210320,98209
20210319,97757
20210318,97294
20210317,96849
20210316,96380
20210315,96017
20210314,95635
20210313,95176
20210312,94686
20210311,94198
20210310,93733
20210309,93263
20210308,92817
20210307,92471
20210306,92055
20210305,91638
20210304,91240
20210303,90816
20210302,90372
20210301,90029
20210228,89676
20210227,89321
20210226,88922
20210225,88516
20210224,88120
20210223,87681
20210222,87324
20210221,86992
20210220,86576
20210219,86128
20210218,85567
20210217,84946
20210216,84325
20210215,83869
20210214,83525
20210213,83199
20210212,82837
20210211,82434
20210210,81930
20210209,81487
20210208,81185
20210207,80896
20210206,80524
20210205,80131
20210204,79762
20210203,79311
20210202,78844
20210201,78508
20210129,77395
20210128,76926
20210127,76429
20210126,75875
20210125,75521
20210124,75084
20210123,74692
20210122,74262
20210121,73918
20210120,73518
20210119,73115
20210118,72729
20210117,72340
20210116,71820
20210115,71241
20210114,70728
20210113,70212
20210112,69651
20210111,69114
20210110,68664
20210109,67999
20210108,67358
20210107,66686
20210106,65818
20210105,64979
20210104,64264
20210103,63244
20210102,62593
20210101,61769
20201231,60740
20201230,59773
20201229,58725
20201228,57680
20201227,56872
20201226,55902
20201225,54770
20201224,53533
20201223,52550
20201222,51460
20201221,50591
20201220,49665
20201219,48570
20201219,48570
20201218,47515
20201217,46453
20201216,45442
20201215,44364
20201214,43484
20201213,42766
20201212,41736
20201211,40786
20201210,40098
20201208,38746
20201209,39432
20201208,38755
20201207,38161
20201206,37546
20201205,36915
20201204,36332
20201203,35703
20201202,35163
20201201,34652
20201130,34201
20201129,33824
20201128,33375
20201127,32887
20201126,32318
20201125,31735
20201124,31353
20201123,31004
20201122,30733
20201121,30403
20201120,30017
20201119,29654
20201118,29311
20201117,28998
20201116,28769
20201115,28546
20201114,28338
20201113,28133
20201112,27942
20201111,27799
20201110,27653
20201109,27553
20201108,27427
20201107,27284
20201106,27195
20201105,27050
20201104,26925
20201103,26807
20201102,26732
20201101,26635
20201031,26511
20201030,26385
20201029,26271
20201028,26146
20201027,26043
20201026,25955
20201025,25836
20201024,25775
20201023,25698
20201022,25543
20201021,25424
20201020,25333
20201019,25275
20201018,25199
20201017,25108
20201016,25035
20201015,24988
20201014,24889
20201013,24805
20201012,24703
20201011,24606
20201010,24548
20201009,24476
20201008,24422
20201007,24353
20201006,24239
20201005,24164
20201004,24091
20201003,24027
20201002,23952
20201001,23889
20200930,23812
20200929,23699
20200928,23661
20200927,23611
20200926,23516
20200925,23455
20200924,23341
20200923,23216
20200922,23106
20200921,23045
20200920,22975
20200919,22893
20200918,22783
20200917,22657
20200916,22504
20200915,22391
20200914,22285
20200913,22176
20200912,22055
20200911,21919
20200910,21743
20200909,21588
20200908,21432
20200907,21296
20200906,21177
20200905,21010
20200904,20842
20200903,20644
20200902,20449
20200901,20182
20200831,19947
20200830,19699
20200829,19400
20200828,19077
20200827,18706
20200826,18265
20200825,17945
20200824,17665
20200823,17399
20200822,17002
20200821,16670
20200820,16346
20200819,16058
20200818,15761
20200817,15515
20200816,15318
20200815,15039
20200814,14873
20200813,14770
20200812,14714
20200811,14660
20200810,14626
20200809,14598
20200808,14562
20200807,14519
20200806,14499
20200805,14456
20200804,14423
20200803,14389
20200802,14366
20200801,14336
20200731,14305
20200730,14269
20200729,14251
20200728,14203
20200727,14175
20200726,14150
20200725,14092
20200724,13979
20200723,13938
20200722,13879
20200721,13816
20200720,13771
20200719,13745
20200718,13711
20200717,13672
20200716,13612
20200715,13551
20200714,13512
20200713,13479
20200712,13417
20200711,13373
20200710,13338
20200709,13293
20200708,13244
20200707,13181
20200706,13137
20200705,13091
20200704,13030
20200703,12967
20200702,12904
20200701,12850
20200630,12800
20200629,12757
20200628,12715
20200627,12653
20200626,12602
20200625,12563
20200624,12535
20200623,12484
20200622,12438
20200621,12421
20200620,12373
20200619,12306
20200618,12257
20200617,12198
20200616,12155
20200615,12121
20200614,12085
20200613,12051
20200612,12003
20200611,11947
20200610,11902
20200609,11852
20200608,11814
20200607,11776
20200606,11719
20200605,11668
20200604,11629
20200603,11590
20200602,11541
20200601,11503
20200531,11468
20200530,11441
20200529,11402
20200528,11344
20200527,11265
20200526,11225
20200525,11206
20200524,11190
20200523,11165
20200522,11142
20200521,11122
20200520,11110
20200519,11078
20200518,11065
20200517,11050
20200516,11037
20200515,11018
20200514,10991
20200513,10962
20200512,10936
20200511,10909
20200510,10874
20200509,10840
20200508,10822
20200507,10810
20200506,10806
20200505,10804
20200504,10801
20200503,10793
20200502,10780
20200501,10774
20200430,10765
20200429,10761
20200428,10752
20200427,10738
20200426,10728
20200425,10718
20200425,10718
20200425,12801
20200424,10708
20200423,10702
20200422,10694
20200421,10683
20200420,10674
20200419,10661
20200418,10653
20200417,10635
20200416,10613
20200415,10591
20200414,10564
20200413,10537
20200412,10512
20200411,10480
20200410,10450
20200409,10423
20200408,10384
20200407,10331
20200406,10284
20200405,10237
20200404,10156
20200403,10062
20200402,9976
20200402,9976
20200401,9887
20200331,9786
20200330,9661
20200329,9583
20200328,9478
20200327,9332
20200326,9241
20200325,9137
20200324,9037
20200324,9037
20200323,8961
20200322,8897
20200321,8799
20200320,8652
20200319,8565
20200318,8413
20200317,8320
20200316,8236
20200315,8162
20200314,8086
20200313,7979
20200312,7869
20200311,7755
20200310,7513
20200309,7382
20200308,7134
20200307,6767
20200306,6284
20200305,5766
20200304,5328
20200303,4812
20200302,4212
20200301,3736
20200301,3526
