번호,시군구 코드,발생 건수
1,11110,1090224
2,11140,1021742
3,11170,1751654
4,11200,2579292
5,11215,3098433
6,11230,2999053
7,11260,3658765
8,11290,3864775
9,11305,2714579
10,11320,2961273
11,11350,5197974
12,11380,4289521
13,11410,2532692
14,11440,3340102
15,11470,4314959
16,11500,5667341
17,11530,4098815
18,11545,2008736
19,11560,3333126
20,11590,3438806
21,11620,4189824
22,11650,3698512
23,11680,4349949
24,11710,5770589
25,11740,3945712
26,26110,362277
27,26140,986218
28,26170,762401
29,26200,1202592
30,26230,3561058
31,26260,2342311
32,26290,2630997
33,26320,2695125
34,26350,3972454
35,26380,3334452
36,26410,2181730
37,26440,994609
38,26470,1959058
39,26500,1485025
40,26530,2284860
41,26710,1754773
42,27110,614355
43,27140,3255073
44,27170,1678682
45,27200,1217534
46,27230,4082052
47,27260,3652965
48,27290,5392735
49,27710,2233773
50,28110,1043404
51,28140,641608
52,28170,3766573
53,28185,2916237
54,28200,5042852
55,28237,4723025
56,28245,2824258
57,28260,5107219
58,28710,460548
59,28720,147430
60,29110,751991
61,29140,2865683
62,29155,1918189
63,29170,3937017
64,29200,4109133
65,30110,2591298
66,30140,2507732
67,30170,4989527
68,30200,3552015
69,30230,2027189
70,31110,2275188
71,31140,3168475
72,31170,2071903
73,31200,2248874
74,31710,2190533
75,36110,2176727
76,41111,2671947
77,41113,3443479
78,41115,1697292
79,41117,3501654
80,41131,2020364
81,41133,2283432
82,41135,4140523
83,41150,4018446
84,41171,2065703
85,41173,3204361
86,41190,2281222
87,41195,2703034
88,41197,1463931
89,41199,1285197
90,41210,3536289
91,41220,4592176
92,41250,938791
93,41271,3364412
94,41273,3002653
95,41281,4025903
96,41285,2254528
97,41287,2686575
98,41290,552255
99,41310,1697674
100,41360,6772730
101,41370,2624447
102,41390,3929995
103,41410,2883333
104,41430,1475212
105,41450,1690929
106,41461,2004594
107,41463,4148673
108,41465,3565849
109,41480,4035968
110,41500,1773363
111,41550,1653593
112,41570,3981878
113,41590,7082666
114,41610,2927718
115,41630,1953298
116,41650,1246458
117,41670,952478
118,41800,349054
119,41820,433630
120,41830,852196
121,42110,2030330
122,42130,2854210
123,42150,1473836
124,42170,742516
125,42190,387663
126,42210,713781
127,42230,614971
128,42720,563369
129,42730,346132
130,42750,287418
131,42760,284848
132,42770,276747
133,42780,390052
134,42790,230694
135,42800,213265
136,42810,227065
137,42820,216065
138,42830,212620
139,43111,1807261
140,43112,1863808
141,43113,2719252
142,43114,1588786
143,43130,1674341
144,43150,962098
145,43710,228543
146,43720,278945
147,43730,498162
148,43740,466659
149,43745,337960
150,43750,550655
151,43760,287189
152,43770,880626
153,43800,189246
154,44131,2347608
155,44133,3405892
156,44150,895239
157,44180,999642
158,44200,3487243
159,44210,1379053
160,44230,1168810
161,44250,486182
162,44270,1652052
163,44710,561566
164,44730,1301
165,44760,613517
166,44770,526068
167,44790,284600
168,44800,824085
169,44810,605994
170,44825,700571
171,45111,3420981
172,45113,3004012
173,45130,3130077
174,45140,2784460
175,45180,1098150
176,45190,711703
177,45210,786488
178,45710,1018609
179,45720,262497
180,45730,206339
181,45740,232399
182,45750,264577
183,45770,275296
184,45790,542604
185,45800,483655
186,46110,2428177
187,46130,3028140
188,46150,2501465
189,46170,909322
190,46230,1367872
191,46710,375183
192,46720,276959
193,46730,244401
194,46770,588889
195,46780,399939
196,46790,521942
197,46800,371593
198,46810,318731
199,46820,743917
200,46830,618627
201,46840,890235
202,46860,291160
203,46870,558377
204,46880,391618
205,46890,518091
206,46900,316008
207,46910,365020
208,47111,2249099
209,47113,2414608
210,47130,1945413
211,47150,1190448
212,47170,1280168
213,47190,4020247
214,47210,876048
215,47230,774787
216,47250,666194
217,47280,715047
218,47290,2423587
219,47720,195711
220,47730,395984
221,47750,173971
222,47760,121827
223,47770,281216
224,47820,362291
225,47830,282936
226,47840,396854
227,47850,1208505
228,47900,346889
229,47920,239539
230,47930,455208
231,47940,52353
232,48121,2232534
233,48123,1891903
234,48125,1436432
235,48127,1786844
236,48129,1661009
237,48170,2576506
238,48220,1401957
239,48240,1029321
240,48250,5585091
241,48270,870434
242,48310,2877937
243,48330,3164599
244,48720,228950
245,48730,613742
246,48740,549683
247,48820,477444
248,48840,390616
249,48850,375061
250,48860,263886
251,48870,386100
252,48880,513204
253,48890,421062
254,49110,4298798
255,49130,1657489
256,49710,713
257,49720,679
